skyCondition,fog,humidity,rain,temperature,windSpeed,datetime
Clear,0,60,0,19.0,10.8,2018-10-17 20:00:00
Clear,0,60,0,19.0,7.2,2018-10-17 20:30:00
Clear,0,64,0,19.0,7.2,2018-10-17 21:00:00
Clear,0,64,0,19.0,7.2,2018-10-17 21:30:00
Clear,0,64,0,19.0,7.2,2018-10-17 22:00:00
Clear,0,73,0,18.0,18.0,2018-10-17 22:30:00
Clear,0,77,0,17.0,14.4,2018-10-17 23:00:00
Clear,0,77,0,16.0,7.2,2018-10-17 23:30:00
Clear,0,82,0,16.0,10.8,2018-10-18 00:00:00
Clear,0,77,0,17.0,7.2,2018-10-18 00:30:00
Clear,0,77,0,17.0,7.2,2018-10-18 01:00:00
Clear,0,77,0,17.0,7.2,2018-10-18 01:30:00
Clear,0,82,0,16.0,7.2,2018-10-18 02:00:00
Clear,0,82,0,16.0,7.2,2018-10-18 02:30:00
Clear,0,88,0,15.0,7.2,2018-10-18 03:00:00
Clear,0,88,0,15.0,7.2,2018-10-18 03:30:00
Clear,0,88,0,15.0,10.8,2018-10-18 04:00:00
Clear,0,88,0,15.0,7.2,2018-10-18 04:30:00
Clear,0,88,0,15.0,7.2,2018-10-18 05:00:00
Clear,0,88,0,15.0,7.2,2018-10-18 05:30:00
Partly Cloudy,0,88,0,15.0,10.8,2018-10-18 06:00:00
Scattered Clouds,0,88,0,15.0,10.8,2018-10-18 06:30:00
Partly Cloudy,0,88,0,16.0,10.8,2018-10-18 07:00:00
Clear,0,88,0,16.0,10.8,2018-10-18 07:30:00
Clear,0,73,0,18.0,14.4,2018-10-18 08:00:00
Partly Cloudy,0,64,0,19.0,21.6,2018-10-18 08:30:00
Scattered Clouds,0,60,0,19.0,25.2,2018-10-18 09:00:00
Scattered Clouds,0,56,0,20.0,21.6,2018-10-18 09:30:00
Scattered Clouds,0,52,0,20.0,21.6,2018-10-18 10:00:00
Scattered Clouds,0,52,0,20.0,18.0,2018-10-18 10:30:00
Scattered Clouds,0,56,0,20.0,18.0,2018-10-18 11:00:00
Scattered Clouds,0,52,0,20.0,18.0,2018-10-18 11:30:00
Mostly Cloudy,0,53,0,21.0,14.4,2018-10-18 12:00:00
Mostly Cloudy,0,52,0,20.0,18.0,2018-10-18 12:30:00
Clear,0,52,0,20.0,21.6,2018-10-18 13:00:00
Clear,0,52,0,20.0,21.6,2018-10-18 13:30:00
Clear,0,49,0,20.0,25.2,2018-10-18 14:00:00
Clear,0,46,0,20.0,21.6,2018-10-18 14:30:00
Clear,0,46,0,20.0,21.6,2018-10-18 15:00:00
Clear,0,46,0,20.0,21.6,2018-10-18 15:30:00
Clear,0,46,0,19.0,21.6,2018-10-18 16:00:00
Clear,0,49,0,18.0,21.6,2018-10-18 16:30:00
Clear,0,49,0,18.0,21.6,2018-10-18 17:00:00
Clear,0,48,0,17.0,21.6,2018-10-18 17:30:00
Clear,0,48,0,17.0,21.6,2018-10-18 18:00:00
Clear,0,48,0,17.0,21.6,2018-10-18 18:30:00
Clear,0,52,0,16.0,21.6,2018-10-18 19:00:00
Clear,0,52,0,16.0,21.6,2018-10-18 19:30:00
Clear,0,52,0,16.0,21.6,2018-10-18 20:00:00
Clear,0,52,0,16.0,18.0,2018-10-18 20:30:00
Clear,0,52,0,16.0,21.6,2018-10-18 21:00:00
Clear,0,59,0,14.0,14.4,2018-10-18 21:30:00
Clear,0,55,0,15.0,14.4,2018-10-18 22:00:00
Clear,0,59,0,14.0,10.8,2018-10-18 22:30:00
Clear,0,63,0,14.0,10.8,2018-10-18 23:00:00
Clear,0,67,0,13.0,7.2,2018-10-18 23:30:00
Clear,0,63,0,14.0,10.8,2018-10-19 00:00:00
Clear,0,63,0,14.0,3.6,2018-10-19 01:00:00
Clear,0,67,0,13.0,3.6,2018-10-19 01:30:00
Clear,0,67,0,13.0,7.2,2018-10-19 02:00:00
Clear,0,67,0,13.0,7.2,2018-10-19 02:30:00
Clear,0,72,0,12.0,7.2,2018-10-19 03:00:00
Clear,0,72,0,12.0,7.2,2018-10-19 03:30:00
Clear,0,77,0,12.0,3.6,2018-10-19 04:00:00
Clear,0,77,0,12.0,0.0,2018-10-19 04:30:00
Clear,0,72,0,13.0,3.6,2018-10-19 05:00:00
Clear,0,67,0,13.0,7.2,2018-10-19 05:30:00
Clear,0,77,0,12.0,7.2,2018-10-19 06:00:00
Clear,0,77,0,13.0,10.8,2018-10-19 06:30:00
Clear,0,77,0,13.0,10.8,2018-10-19 07:00:00
Clear,0,67,0,15.0,10.8,2018-10-19 07:30:00
Clear,0,67,0,15.0,10.8,2018-10-19 08:00:00
Clear,0,59,0,17.0,14.4,2018-10-19 08:30:00
Clear,0,56,0,18.0,18.0,2018-10-19 09:00:00
Clear,0,59,0,18.0,14.4,2018-10-19 09:30:00
Clear,0,56,0,19.0,14.4,2018-10-19 10:00:00
Partly Cloudy,0,52,0,20.0,10.8,2018-10-19 10:30:00
Scattered Clouds,0,49,0,20.0,10.8,2018-10-19 11:00:00
Scattered Clouds,0,46,0,21.0,14.4,2018-10-19 11:30:00
Clear,0,46,0,20.0,14.4,2018-10-19 12:00:00
Clear,0,43,0,21.0,18.0,2018-10-19 12:30:00
Clear,0,46,0,21.0,18.0,2018-10-19 13:00:00
Clear,0,46,0,21.0,14.4,2018-10-19 13:30:00
Clear,0,40,0,21.0,18.0,2018-10-19 14:00:00
Clear,0,40,0,21.0,14.4,2018-10-19 14:30:00
Clear,0,40,0,21.0,14.4,2018-10-19 15:00:00
Clear,0,46,0,20.0,18.0,2018-10-19 15:30:00
Clear,0,49,0,20.0,10.8,2018-10-19 16:00:00
Clear,0,46,0,20.0,18.0,2018-10-19 16:30:00
Clear,0,43,0,20.0,14.4,2018-10-19 17:00:00
Clear,0,46,0,19.0,14.4,2018-10-19 17:30:00
Clear,0,52,0,19.0,14.4,2018-10-19 18:00:00
Clear,0,52,0,19.0,14.4,2018-10-19 18:30:00
Clear,0,59,0,18.0,10.8,2018-10-19 19:00:00
Clear,0,59,0,18.0,10.8,2018-10-19 19:30:00
Clear,0,64,0,18.0,10.8,2018-10-19 20:00:00
Clear,0,68,0,17.0,10.8,2018-10-19 20:30:00
Clear,0,68,0,17.0,10.8,2018-10-19 21:00:00
Clear,0,72,0,17.0,10.8,2018-10-19 21:30:00
Clear,0,77,0,16.0,10.8,2018-10-19 22:00:00
Clear,0,77,0,16.0,10.8,2018-10-19 22:30:00
Clear,0,77,0,16.0,7.2,2018-10-19 23:00:00
Clear,0,77,0,16.0,10.8,2018-10-19 23:30:00
Clear,0,82,0,15.0,10.8,2018-10-20 00:00:00
Clear,0,82,0,15.0,10.8,2018-10-20 00:30:00
Clear,0,82,0,15.0,7.2,2018-10-20 01:00:00
Clear,0,82,0,15.0,7.2,2018-10-20 01:30:00
Partly Cloudy,0,82,0,16.0,7.2,2018-10-20 02:00:00
Partly Cloudy,0,82,0,16.0,3.6,2018-10-20 02:30:00
Partly Cloudy,0,82,0,16.0,7.2,2018-10-20 03:00:00
Scattered Clouds,0,82,0,16.0,10.8,2018-10-20 03:30:00
Scattered Clouds,0,82,0,16.0,7.2,2018-10-20 04:00:00
Scattered Clouds,0,82,0,16.0,7.2,2018-10-20 04:30:00
Partly Cloudy,0,82,0,16.0,7.2,2018-10-20 05:00:00
Partly Cloudy,0,77,0,16.0,7.2,2018-10-20 05:30:00
Scattered Clouds,0,82,0,16.0,7.2,2018-10-20 06:00:00
Scattered Clouds,0,77,0,17.0,7.2,2018-10-20 06:30:00
Mostly Cloudy,0,73,0,18.0,7.2,2018-10-20 07:00:00
Clear,0,68,0,18.0,10.8,2018-10-20 07:30:00
Clear,0,64,0,19.0,10.8,2018-10-20 08:00:00
Clear,0,64,0,19.0,10.8,2018-10-20 08:30:00
Clear,0,60,0,20.0,14.4,2018-10-20 09:00:00
Clear,0,56,0,20.0,14.4,2018-10-20 09:30:00
Clear,0,56,0,20.0,14.4,2018-10-20 10:00:00
Clear,0,56,0,20.0,14.4,2018-10-20 10:30:00
Clear,0,56,0,20.0,10.8,2018-10-20 11:00:00
Clear,0,53,0,21.0,10.8,2018-10-20 11:30:00
Clear,0,56,0,20.0,14.4,2018-10-20 12:00:00
Clear,0,53,0,21.0,14.4,2018-10-20 12:30:00
Clear,0,56,0,20.0,14.4,2018-10-20 13:00:00
Clear,0,53,0,21.0,14.4,2018-10-20 13:30:00
Clear,0,53,0,21.0,14.4,2018-10-20 14:00:00
Clear,0,53,0,21.0,14.4,2018-10-20 14:30:00
Clear,0,53,0,21.0,14.4,2018-10-20 15:00:00
Clear,0,53,0,21.0,10.8,2018-10-20 15:30:00
Clear,0,56,0,20.0,14.4,2018-10-20 16:00:00
Clear,0,56,0,20.0,14.4,2018-10-20 16:30:00
Scattered Clouds,0,56,0,20.0,14.4,2018-10-20 17:00:00
Scattered Clouds,0,56,0,20.0,10.8,2018-10-20 17:30:00
Scattered Clouds,0,56,0,20.0,14.4,2018-10-20 18:00:00
Scattered Clouds,0,60,0,19.0,10.8,2018-10-20 18:30:00
Clear,0,60,0,19.0,14.4,2018-10-20 19:00:00
Clear,0,60,0,19.0,10.8,2018-10-20 19:30:00
Clear,0,68,0,18.0,10.8,2018-10-20 20:00:00
Clear,0,68,0,18.0,7.2,2018-10-20 20:30:00
