id,index,indexLevel,length,location,roadType,roadName,speed,datetime,congestionLength
15765031699,1.74,2,48.39,"121.024332,30.878971",1,沪杭高速,54.70,202003041145,2.11
15765031624,1.69,2,3.50,"121.361471,31.324284",3,陈广路,25.40,202003041145,-
15765031625,1.62,2,2.39,"121.534745,31.379264",3,江东路,26.01,202003041145,-
15765031616,1.55,2,3.21,"121.676418,30.904376",3,奉海公路,27.62,202003041145,-
15765031714,1.49,1,1.22,"121.313913,31.065021",4,新站路,27.47,202003041145,-
15765031721,1.49,1,1.57,"121.576238,31.035144",4,航头路,31.95,202003041145,-
15765031709,1.49,1,1.24,"121.329825,31.194285",4,申兰路,38.68,202003041145,-
15765031673,1.49,1,32.10,"121.67273,31.701078",1,沪陕高速,64.21,202003041145,0.89
15765031725,1.48,1,1.71,"121.182203,31.309467",4,米泉路,29.52,202003041145,-
15765031710,1.48,1,3.05,"121.584345,31.055453",4,航梅路,35.99,202003041145,-
15765031699,1.74,2,48.39,"121.024332,30.878971",1,沪杭高速,54.70,202003041145,2.11
15765031673,1.49,1,32.10,"121.67273,31.701078",1,沪陕高速,64.21,202003041145,0.89
15765031682,1.43,1,23.86,"121.070457,31.226734",1,沪常高速,62.40,202003041145,0.60
15765031677,1.37,1,21.04,"121.01012,30.854927",1,亭枫高速,64.97,202003041145,0.46
15765031656,1.30,1,1.26,"121.279161,30.735284",1,杭浦高速,60.12,202003041145,-
15765031679,1.20,1,13.49,"121.368411,31.337554",1,环北大道,62.21,202003041145,0.68
15765031689,1.19,1,18.31,"121.500195,31.379345",1,上海绕城高速,59.48,202003041145,0.29
15765031583,1.19,1,6.80,"121.627776,31.181325",2,度假区高架路,70.05,202003041145,-
15765031591,1.18,1,7.13,"121.664394,31.142183",2,度假区高架路,74.21,202003041145,-
15765031670,1.16,1,1.82,"121.17208,31.272186",1,沪蓉高速,67.59,202003041145,-
